parameter,value,unit,datetimeLocal
pm25,39.5,µg/m³,2026-03-29T17:00:00+07:00
pm25,41.1,µg/m³,2026-03-29T18:00:00+07:00
pm25,42.5,µg/m³,2026-03-29T19:00:00+07:00
pm25,42.7,µg/m³,2026-03-29T20:00:00+07:00
pm25,42.7,µg/m³,2026-03-29T21:00:00+07:00
pm25,44,µg/m³,2026-03-29T22:00:00+07:00
pm25,46.2,µg/m³,2026-03-29T23:00:00+07:00
pm25,53,µg/m³,2026-03-30T00:00:00+07:00
pm25,64.4,µg/m³,2026-03-30T01:00:00+07:00
pm25,68,µg/m³,2026-03-30T02:00:00+07:00
pm25,67.8,µg/m³,2026-03-30T03:00:00+07:00
pm25,79.3,µg/m³,2026-03-30T04:00:00+07:00
pm25,104,µg/m³,2026-03-30T05:00:00+07:00
pm25,80.4,µg/m³,2026-03-30T06:00:00+07:00
pm25,92.3,µg/m³,2026-03-30T07:00:00+07:00
pm25,87.8,µg/m³,2026-03-30T08:00:00+07:00
pm25,59.2,µg/m³,2026-03-30T09:00:00+07:00
pm25,62.8,µg/m³,2026-03-30T10:00:00+07:00
pm25,62,µg/m³,2026-03-30T11:00:00+07:00
pm25,62.1,µg/m³,2026-03-30T12:00:00+07:00
pm25,65.5,µg/m³,2026-03-30T13:00:00+07:00
pm25,65.9,µg/m³,2026-03-30T14:00:00+07:00
pm25,67,µg/m³,2026-03-30T15:00:00+07:00
pm25,64.6,µg/m³,2026-03-30T16:00:00+07:00
pm25,59.7,µg/m³,2026-03-30T17:00:00+07:00
pm25,68.8,µg/m³,2026-03-30T18:00:00+07:00
pm25,65.2,µg/m³,2026-03-30T19:00:00+07:00
pm25,72.2,µg/m³,2026-03-30T20:00:00+07:00
pm25,72.4,µg/m³,2026-03-30T21:00:00+07:00
pm25,61.1,µg/m³,2026-03-30T22:00:00+07:00
pm25,71.9,µg/m³,2026-03-30T23:00:00+07:00
pm25,56.1,µg/m³,2026-03-31T00:00:00+07:00
pm25,63.2,µg/m³,2026-03-31T01:00:00+07:00
pm25,53.4,µg/m³,2026-03-31T02:00:00+07:00
pm25,69.4,µg/m³,2026-03-31T03:00:00+07:00
pm25,72,µg/m³,2026-03-31T04:00:00+07:00
pm25,64.4,µg/m³,2026-03-31T05:00:00+07:00
pm25,74,µg/m³,2026-03-31T06:00:00+07:00
pm25,72.6,µg/m³,2026-03-31T07:00:00+07:00
pm25,78.7,µg/m³,2026-03-31T08:00:00+07:00
pm25,56.2,µg/m³,2026-03-31T09:00:00+07:00
pm25,62.7,µg/m³,2026-03-31T10:00:00+07:00
pm25,72.3,µg/m³,2026-03-31T11:00:00+07:00
pm25,80.2,µg/m³,2026-03-31T12:00:00+07:00
pm25,86.8,µg/m³,2026-03-31T13:00:00+07:00
pm25,84.7,µg/m³,2026-03-31T14:00:00+07:00
pm25,87,µg/m³,2026-03-31T15:00:00+07:00
pm25,82,µg/m³,2026-03-31T16:00:00+07:00
pm25,73.3,µg/m³,2026-03-31T17:00:00+07:00
pm25,65.5,µg/m³,2026-03-31T18:00:00+07:00
pm25,67.7,µg/m³,2026-03-31T19:00:00+07:00
pm25,68.6,µg/m³,2026-03-31T20:00:00+07:00
pm25,75.3,µg/m³,2026-03-31T21:00:00+07:00
pm25,73.2,µg/m³,2026-03-31T22:00:00+07:00
pm25,58.7,µg/m³,2026-03-31T23:00:00+07:00
pm25,63.7,µg/m³,2026-04-01T00:00:00+07:00
pm25,46.8,µg/m³,2026-04-01T01:00:00+07:00
pm25,38.7,µg/m³,2026-04-01T02:00:00+07:00
pm25,25.6,µg/m³,2026-04-01T03:00:00+07:00
pm25,17.2,µg/m³,2026-04-01T04:00:00+07:00
pm25,20.9,µg/m³,2026-04-01T05:00:00+07:00
pm25,24.8,µg/m³,2026-04-01T06:00:00+07:00
pm25,31.5,µg/m³,2026-04-01T07:00:00+07:00
pm25,28.1,µg/m³,2026-04-01T08:00:00+07:00
pm25,22.5,µg/m³,2026-04-01T09:00:00+07:00
pm25,19.9,µg/m³,2026-04-01T10:00:00+07:00
