parameter,value,unit,datetimeLocal
pm10,75.77,µg/m³,2026-03-15T07:05:00+07:00
pm10,78.36,µg/m³,2026-03-15T07:10:00+07:00
pm10,80.15,µg/m³,2026-03-15T07:15:00+07:00
pm10,80.93,µg/m³,2026-03-15T07:20:00+07:00
pm10,82.1,µg/m³,2026-03-15T07:30:00+07:00
pm10,81.83,µg/m³,2026-03-15T07:35:00+07:00
pm10,82.35,µg/m³,2026-03-15T07:55:00+07:00
pm10,83.38,µg/m³,2026-03-15T08:00:00+07:00
pm10,84.18,µg/m³,2026-03-15T08:05:00+07:00
pm10,84.27,µg/m³,2026-03-15T08:10:00+07:00
pm10,84.44,µg/m³,2026-03-15T08:15:00+07:00
pm10,85.17,µg/m³,2026-03-15T08:55:00+07:00
pm10,86.55,µg/m³,2026-03-15T09:00:00+07:00
pm10,91.37,µg/m³,2026-03-15T09:05:00+07:00
pm10,90.59,µg/m³,2026-03-15T09:10:00+07:00
pm10,89.79,µg/m³,2026-03-15T09:15:00+07:00
pm10,90.3,µg/m³,2026-03-15T09:20:00+07:00
pm10,90.65,µg/m³,2026-03-15T09:25:00+07:00
pm10,89.55,µg/m³,2026-03-15T09:30:00+07:00
pm10,88.46,µg/m³,2026-03-15T09:35:00+07:00
pm10,85.54,µg/m³,2026-03-15T09:45:00+07:00
pm10,83.02,µg/m³,2026-03-15T09:50:00+07:00
pm10,81.32,µg/m³,2026-03-15T10:00:00+07:00
pm10,76.51,µg/m³,2026-03-15T10:20:00+07:00
pm10,76.46,µg/m³,2026-03-15T10:25:00+07:00
pm10,76.74,µg/m³,2026-03-15T10:30:00+07:00
pm10,76.29,µg/m³,2026-03-15T10:35:00+07:00
pm10,75.36,µg/m³,2026-03-15T10:45:00+07:00
pm10,73.38,µg/m³,2026-03-15T10:50:00+07:00
pm10,72.82,µg/m³,2026-03-15T10:55:00+07:00
pm10,71.94,µg/m³,2026-03-15T11:00:00+07:00
pm10,70.9,µg/m³,2026-03-15T11:05:00+07:00
pm10,68.85,µg/m³,2026-03-15T11:15:00+07:00
pm10,67.14,µg/m³,2026-03-15T11:30:00+07:00
pm10,67.35,µg/m³,2026-03-15T11:40:00+07:00
pm10,65.93,µg/m³,2026-03-15T11:45:00+07:00
pm10,65.18,µg/m³,2026-03-15T11:55:00+07:00
pm10,65.06,µg/m³,2026-03-15T12:05:00+07:00
pm10,63.24,µg/m³,2026-03-15T12:10:00+07:00
pm10,63.27,µg/m³,2026-03-15T12:15:00+07:00
pm10,61.91,µg/m³,2026-03-15T12:45:00+07:00
pm10,60.16,µg/m³,2026-03-15T12:55:00+07:00
pm10,57.74,µg/m³,2026-03-15T13:05:00+07:00
pm10,57.06,µg/m³,2026-03-15T13:10:00+07:00
pm10,56.34,µg/m³,2026-03-15T13:15:00+07:00
pm10,56.42,µg/m³,2026-03-15T13:20:00+07:00
pm10,55.75,µg/m³,2026-03-15T13:25:00+07:00
pm10,55.56,µg/m³,2026-03-15T13:35:00+07:00
pm10,54.93,µg/m³,2026-03-15T13:40:00+07:00
pm10,49.78,µg/m³,2026-03-15T14:05:00+07:00
pm10,48.37,µg/m³,2026-03-15T14:10:00+07:00
pm10,47.65,µg/m³,2026-03-15T14:20:00+07:00
pm10,47.43,µg/m³,2026-03-15T14:30:00+07:00
pm10,46.79,µg/m³,2026-03-15T14:50:00+07:00
pm10,46,µg/m³,2026-03-15T15:05:00+07:00
pm10,46.33,µg/m³,2026-03-15T15:10:00+07:00
pm10,47.51,µg/m³,2026-03-15T15:15:00+07:00
pm10,49.68,µg/m³,2026-03-15T15:25:00+07:00
pm10,50.47,µg/m³,2026-03-15T15:30:00+07:00
pm10,51.05,µg/m³,2026-03-15T15:35:00+07:00
pm10,52.11,µg/m³,2026-03-15T15:40:00+07:00
pm10,55.55,µg/m³,2026-03-15T15:55:00+07:00
pm10,55.12,µg/m³,2026-03-15T16:00:00+07:00
pm10,54.29,µg/m³,2026-03-15T16:10:00+07:00
pm10,52.96,µg/m³,2026-03-15T16:20:00+07:00
pm10,44.74,µg/m³,2026-03-15T16:50:00+07:00
pm10,44.54,µg/m³,2026-03-15T16:55:00+07:00
pm10,43.81,µg/m³,2026-03-15T17:00:00+07:00
pm10,41.13,µg/m³,2026-03-15T17:10:00+07:00
pm10,40.88,µg/m³,2026-03-15T17:20:00+07:00
pm10,40.72,µg/m³,2026-03-15T17:25:00+07:00
pm10,41.31,µg/m³,2026-03-15T17:30:00+07:00
pm10,40.11,µg/m³,2026-03-15T17:35:00+07:00
pm10,38.79,µg/m³,2026-03-15T17:50:00+07:00
pm10,39.55,µg/m³,2026-03-15T18:05:00+07:00
pm10,41.51,µg/m³,2026-03-15T18:15:00+07:00
pm10,42.15,µg/m³,2026-03-15T18:20:00+07:00
pm10,42.53,µg/m³,2026-03-15T18:30:00+07:00
pm10,42.83,µg/m³,2026-03-15T18:35:00+07:00
pm10,42.37,µg/m³,2026-03-15T18:45:00+07:00
pm10,44.27,µg/m³,2026-03-15T19:00:00+07:00
pm10,43.77,µg/m³,2026-03-15T19:15:00+07:00
pm10,43.33,µg/m³,2026-03-15T19:20:00+07:00
pm10,42.08,µg/m³,2026-03-15T19:30:00+07:00
pm10,41.69,µg/m³,2026-03-15T19:35:00+07:00
pm10,41.31,µg/m³,2026-03-15T19:40:00+07:00
pm10,40.75,µg/m³,2026-03-15T19:45:00+07:00
pm10,42.37,µg/m³,2026-03-15T19:55:00+07:00
pm10,43.09,µg/m³,2026-03-15T20:00:00+07:00
pm10,44.92,µg/m³,2026-03-15T20:05:00+07:00
pm10,45.67,µg/m³,2026-03-15T20:10:00+07:00
pm10,45.12,µg/m³,2026-03-15T20:15:00+07:00
pm10,46.59,µg/m³,2026-03-15T20:25:00+07:00
pm10,48.01,µg/m³,2026-03-15T20:30:00+07:00
pm10,48.99,µg/m³,2026-03-15T20:35:00+07:00
pm10,49.51,µg/m³,2026-03-15T20:40:00+07:00
pm10,50.7,µg/m³,2026-03-15T20:45:00+07:00
pm10,51.78,µg/m³,2026-03-15T20:50:00+07:00
pm10,53.08,µg/m³,2026-03-15T20:55:00+07:00
pm10,53.44,µg/m³,2026-03-15T21:05:00+07:00
pm10,54.75,µg/m³,2026-03-15T21:10:00+07:00
pm10,55.72,µg/m³,2026-03-15T21:15:00+07:00
pm10,57.03,µg/m³,2026-03-15T21:20:00+07:00
