parameter,value,unit,datetimeLocal
pm2.5,41.6,µg/m³,2026-03-29T14:00:00+07:00
pm2.5,39.8,µg/m³,2026-03-29T15:00:00+07:00
pm2.5,33.8,µg/m³,2026-03-29T16:00:00+07:00
pm2.5,36.8,µg/m³,2026-03-29T17:00:00+07:00
pm2.5,39.1,µg/m³,2026-03-29T18:00:00+07:00
pm2.5,33.1,µg/m³,2026-03-29T19:00:00+07:00
pm2.5,29.3,µg/m³,2026-03-29T20:00:00+07:00
pm2.5,30,µg/m³,2026-03-29T21:00:00+07:00
pm2.5,24.3,µg/m³,2026-03-29T22:00:00+07:00
pm2.5,25.4,µg/m³,2026-03-29T23:00:00+07:00
pm2.5,28,µg/m³,2026-03-30T00:00:00+07:00
pm2.5,27.4,µg/m³,2026-03-30T01:00:00+07:00
pm2.5,28.3,µg/m³,2026-03-30T02:00:00+07:00
pm2.5,28.9,µg/m³,2026-03-30T03:00:00+07:00
pm2.5,30.8,µg/m³,2026-03-30T04:00:00+07:00
pm2.5,34.1,µg/m³,2026-03-30T05:00:00+07:00
pm2.5,28.7,µg/m³,2026-03-30T06:00:00+07:00
pm2.5,20.7,µg/m³,2026-03-30T07:00:00+07:00
pm2.5,28.8,µg/m³,2026-03-30T08:00:00+07:00
pm2.5,36.5,µg/m³,2026-03-30T09:00:00+07:00
pm2.5,50.2,µg/m³,2026-03-30T10:00:00+07:00
pm2.5,58.6,µg/m³,2026-03-30T11:00:00+07:00
pm2.5,61,µg/m³,2026-03-30T12:00:00+07:00
pm2.5,51.6,µg/m³,2026-03-30T13:00:00+07:00
pm2.5,43.3,µg/m³,2026-03-30T14:00:00+07:00
pm2.5,55,µg/m³,2026-03-30T15:00:00+07:00
pm2.5,60.6,µg/m³,2026-03-30T16:00:00+07:00
pm2.5,60.8,µg/m³,2026-03-30T17:00:00+07:00
pm2.5,56.6,µg/m³,2026-03-30T18:00:00+07:00
pm2.5,58.2,µg/m³,2026-03-30T19:00:00+07:00
pm2.5,55.1,µg/m³,2026-03-30T20:00:00+07:00
pm2.5,50.4,µg/m³,2026-03-30T21:00:00+07:00
pm2.5,44.3,µg/m³,2026-03-30T22:00:00+07:00
pm2.5,40.7,µg/m³,2026-03-30T23:00:00+07:00
pm2.5,33.9,µg/m³,2026-03-31T00:00:00+07:00
pm2.5,35.5,µg/m³,2026-03-31T01:00:00+07:00
pm2.5,36.4,µg/m³,2026-03-31T02:00:00+07:00
pm2.5,29.2,µg/m³,2026-03-31T03:00:00+07:00
pm2.5,30,µg/m³,2026-03-31T04:00:00+07:00
pm2.5,29.5,µg/m³,2026-03-31T05:00:00+07:00
pm2.5,31.7,µg/m³,2026-03-31T06:00:00+07:00
pm2.5,39.1,µg/m³,2026-03-31T07:00:00+07:00
pm2.5,49.7,µg/m³,2026-03-31T08:00:00+07:00
pm2.5,55.1,µg/m³,2026-03-31T09:00:00+07:00
pm2.5,61.8,µg/m³,2026-03-31T10:00:00+07:00
pm2.5,63.7,µg/m³,2026-03-31T11:00:00+07:00
pm2.5,64.1,µg/m³,2026-03-31T12:00:00+07:00
pm2.5,64.5,µg/m³,2026-03-31T13:00:00+07:00
pm2.5,60.3,µg/m³,2026-03-31T14:00:00+07:00
pm2.5,65.3,µg/m³,2026-03-31T15:00:00+07:00
pm2.5,74.6,µg/m³,2026-03-31T16:00:00+07:00
pm2.5,75.2,µg/m³,2026-03-31T17:00:00+07:00
pm2.5,59.3,µg/m³,2026-03-31T18:00:00+07:00
pm2.5,56,µg/m³,2026-03-31T19:00:00+07:00
pm2.5,61.6,µg/m³,2026-03-31T20:00:00+07:00
pm2.5,64,µg/m³,2026-03-31T21:00:00+07:00
pm2.5,64.4,µg/m³,2026-03-31T22:00:00+07:00
pm2.5,61.1,µg/m³,2026-03-31T23:00:00+07:00
pm2.5,53.3,µg/m³,2026-04-01T00:00:00+07:00
pm2.5,37.8,µg/m³,2026-04-01T01:00:00+07:00
pm2.5,10.3,µg/m³,2026-04-01T02:00:00+07:00
pm2.5,4.03,µg/m³,2026-04-01T04:00:00+07:00
pm2.5,12.1,µg/m³,2026-04-01T05:00:00+07:00
pm2.5,17,µg/m³,2026-04-01T06:00:00+07:00
pm2.5,17.7,µg/m³,2026-04-01T07:00:00+07:00
pm2.5,17.4,µg/m³,2026-04-01T08:00:00+07:00
pm2.5,16.3,µg/m³,2026-04-01T09:00:00+07:00
pm2.5,18.8,µg/m³,2026-04-01T10:00:00+07:00
pm2.5,20.8,µg/m³,2026-04-01T11:00:00+07:00
pm2.5,21.6,µg/m³,2026-04-01T12:00:00+07:00
pm2.5,24.4,µg/m³,2026-04-01T13:00:00+07:00
pm2.5,28.3,µg/m³,2026-04-01T14:00:00+07:00
pm2.5,36.5,µg/m³,2026-04-01T15:00:00+07:00
pm2.5,41.6,µg/m³,2026-04-01T16:00:00+07:00
pm2.5,48.3,µg/m³,2026-04-01T17:00:00+07:00
pm2.5,57.2,µg/m³,2026-04-01T18:00:00+07:00
pm2.5,55.3,µg/m³,2026-04-01T19:00:00+07:00
pm2.5,60.6,µg/m³,2026-04-01T20:00:00+07:00
pm2.5,67.3,µg/m³,2026-04-01T21:00:00+07:00
pm2.5,57.6,µg/m³,2026-04-01T22:00:00+07:00
pm2.5,40.8,µg/m³,2026-04-01T23:00:00+07:00
pm2.5,40.2,µg/m³,2026-04-02T00:00:00+07:00
pm2.5,36.4,µg/m³,2026-04-02T01:00:00+07:00
pm2.5,34.6,µg/m³,2026-04-02T02:00:00+07:00
pm2.5,35.7,µg/m³,2026-04-02T03:00:00+07:00
pm2.5,35,µg/m³,2026-04-02T04:00:00+07:00
pm2.5,33.1,µg/m³,2026-04-02T05:00:00+07:00
pm2.5,32.1,µg/m³,2026-04-02T06:00:00+07:00
pm2.5,37.3,µg/m³,2026-04-02T07:00:00+07:00
pm2.5,41.9,µg/m³,2026-04-02T08:00:00+07:00
pm2.5,61,µg/m³,2026-04-02T09:00:00+07:00
pm2.5,72.3,µg/m³,2026-04-02T10:00:00+07:00
pm2.5,60.6,µg/m³,2026-04-02T11:00:00+07:00
pm2.5,55.2,µg/m³,2026-04-02T12:00:00+07:00
pm2.5,51.8,µg/m³,2026-04-02T13:00:00+07:00
pm2.5,45.6,µg/m³,2026-04-02T14:00:00+07:00
pm2.5,43.8,µg/m³,2026-04-02T15:00:00+07:00
pm2.5,46.1,µg/m³,2026-04-02T16:00:00+07:00
pm2.5,53.2,µg/m³,2026-04-02T17:00:00+07:00
pm2.5,62.3,µg/m³,2026-04-02T18:00:00+07:00
pm2.5,65.2,µg/m³,2026-04-02T19:00:00+07:00
pm2.5,54.9,µg/m³,2026-04-02T20:00:00+07:00
pm2.5,43.6,µg/m³,2026-04-02T21:00:00+07:00
pm2.5,41.6,µg/m³,2026-04-02T22:00:00+07:00
pm2.5,42.5,µg/m³,2026-04-02T23:00:00+07:00
pm2.5,42.1,µg/m³,2026-04-03T00:00:00+07:00
pm2.5,40.2,µg/m³,2026-04-03T01:00:00+07:00
pm2.5,37.6,µg/m³,2026-04-03T02:00:00+07:00
pm2.5,40.6,µg/m³,2026-04-03T03:00:00+07:00
pm2.5,42,µg/m³,2026-04-03T04:00:00+07:00
pm2.5,35.9,µg/m³,2026-04-03T05:00:00+07:00
pm2.5,36.1,µg/m³,2026-04-03T06:00:00+07:00
pm2.5,39.3,µg/m³,2026-04-03T07:00:00+07:00
pm2.5,49.7,µg/m³,2026-04-03T08:00:00+07:00
pm2.5,56.8,µg/m³,2026-04-03T09:00:00+07:00
pm2.5,53.6,µg/m³,2026-04-03T10:00:00+07:00
pm2.5,56.7,µg/m³,2026-04-03T11:00:00+07:00
pm2.5,54.8,µg/m³,2026-04-03T12:00:00+07:00
pm2.5,51.2,µg/m³,2026-04-03T13:00:00+07:00
pm2.5,46.8,µg/m³,2026-04-03T14:00:00+07:00
pm2.5,46.5,µg/m³,2026-04-03T15:00:00+07:00
pm2.5,48.4,µg/m³,2026-04-03T16:00:00+07:00
pm2.5,50.6,µg/m³,2026-04-03T17:00:00+07:00
pm2.5,50.9,µg/m³,2026-04-03T18:00:00+07:00
pm2.5,61.7,µg/m³,2026-04-03T19:00:00+07:00
pm2.5,60.3,µg/m³,2026-04-03T20:00:00+07:00
pm2.5,61.2,µg/m³,2026-04-03T21:00:00+07:00
pm2.5,58.9,µg/m³,2026-04-03T22:00:00+07:00
pm2.5,54.4,µg/m³,2026-04-03T23:00:00+07:00
pm2.5,46.2,µg/m³,2026-04-04T00:00:00+07:00
pm2.5,40.2,µg/m³,2026-04-04T01:00:00+07:00
pm2.5,39.7,µg/m³,2026-04-04T02:00:00+07:00
pm2.5,39.8,µg/m³,2026-04-04T03:00:00+07:00
pm2.5,40.9,µg/m³,2026-04-04T04:00:00+07:00
pm2.5,42.7,µg/m³,2026-04-04T05:00:00+07:00
